"param","delta","trend"
1,-1,0.0333244525153108
1,1,0.0334724543837328
2,-1,0.0333964721156402
2,1,0.033660587324425
3,-1,0.0334985623116515
3,1,0.0335614367852553
4,-1,0.0347487547513968
4,1,0.032476431035169
5,-1,0.0359440304931516
5,1,0.0315502840099183
6,-1,0.0240908138843318
6,1,0.027378402777777
7,-1,0.0294123737970982
7,1,0.0228128214007338
8,-1,0.0253938551165385
8,1,0.026173545584128
9,-1,0.0248249197632104
9,1,0.0271152020950887
10,-1,0.027890198641376
10,1,0.0242364631782936
11,-1,0.0218239034929272
11,1,0.0387365901113965
12,-1,0.025350713344267
12,1,0.0261024112021514
13,-1,0.0254548125048806
13,1,0.0261042445196196
14,-1,0.025350713344267
14,1,0.0261024112021514
15,-1,0.0253074347537075
15,1,0.0260906808167187
16,-1,0.0191815216758109
16,1,0.0267830185715366
17,-1,0.025739992201686
17,1,0.02574903698361
18,-1,0.0258206108373354
18,1,0.0256620654321973
19,-1,0.0257935148017422
19,1,0.0256893102235588
20,-1,0.0256654856636327
20,1,0.0258378953931771
21,-1,0.025725026441853
21,1,0.0258422507468798
22,-1,0.025810652178157
22,1,0.0257427772428377
23,-1,0.0260363666268809
23,1,0.0254528985458596
24,-1,0.0257587273088201
24,1,0.0257841266031891
25,-1,0.0257613376547449
25,1,0.0257372780226691
26,-1,0.0256657122235392
26,1,0.0258631867986797
27,-1,0.0271785401899895
27,1,0.0207257563224501
28,-1,0.0256607537392839
28,1,0.0258327514538942
29,-1,0.025731639641057
29,1,0.0257599735072954
