"","taxa","size","weight","energy","image_area","energy_density","mode"
"1","Acartia spp. (unidentified)",1.15,0.11,0.385,0.292131301244941,3500,"A"
"2","Appendicularia",1,0.59,0.2537,0.392699081698724,430,"A"
"3","Calanus finmarchicus",2.7,0.64,2.816,1.61031167189083,4400,"B"
"4","Calanus helgolandicus",2.68,0.63,2.772,1.58654355997102,4400,"B"
"5","Calanus I-IV",1.65,0.23,0.874,0.601381828082687,3800,"B"
"6","Calanus V-VI unidentified",2.48,0.54,2.376,1.35858174304491,4400,"B"
"7","Centropages hamatus",1.3,0.14,0.476,0.37330956453985,3400,"B"
"8","Centropages spp. (Unidentified)",1.63,0.22,0.77,0.586891231968004,3500,"B"
"9","Centropages typicus",1.55,0.2,0.72,0.530695993376917,3600,"B"
"10","Copepod nauplii",0.19,0.0029,0.00435,0.0283528736986479,1500,"A"
"11","Decapoda larvae (Total)",0.9,0.46,1.472,0.636172512351933,3200,"A"
"12","Euphausiacea Total",17,56,252,28.3725086527328,4500,"C"
"13","Evadne spp.",0.5,0.021,0.0924,0.196349540849362,4400,"A"
"14","Fish eggs (Total)",1,1.6,2.72,0.785398163397448,1700,"A"
"15","Fish larvae",12,2,4,6.56832849607075,2000,"C"
"16","Hyperiidea (Total)",16,32,92.8,54.8350717717491,2900,"C"
"17","Metridia lucens",2.27,0.45,1.395,1.13824074267301,3100,"B"
"18","Oithona spp.",0.68,0.036,0.09,0.102141031149838,2500,"A"
"19","Para-Pseudocalanus spp.",0.7,0.038,0.1292,0.108237684393211,3400,"A"
"20","Podon spp.",1,0.21,0.924,0.785398163397448,4400,"A"
"21","Temora longicornis",1,0.08,0.24,0.220893233455532,3000,"A"
